company,avg_salary($),salary_type
Avid_Technology%2C_Inc.,84,year
AvidXchange,86,year
Avigilon,75,year
Avionte,76,year
Avnet_Inc.,87,year
Avtex_Inc.,76,year
Avvo_Inc.,57,year
Aware%2C_Inc.,64,year
Axcient,N/A,year
Axiom,77,year
Axiom_Staffing_Group,N/A,year
Axispoint,N/A,year
Axway_Inc.,90,year
Azul_Systems,N/A,year
a_la_Mode,N/A,year
B-Line_Medical,81,year
B2B_Software_Technologies,N/A,year
BAE_Industries,N/A,year
BAE_Systems_Inc.,97,year
BANC3,N/A,year
BCD_Travels,61,year
BCI_Communications_Inc.,N/A,year
BI_Worldwide_Ltd,79,year
BITS,N/A,year
BMC_Software%2C_Inc.,100,year
BOSH_Global_Services,N/A,year
BST_Global,N/A,year
BT_Americas_Inc.,N/A,year
BT_Group,N/A,year
BTAS%2C_Inc.,N/A,year
BWM_Group,N/A,year
Backstop,N/A,year
Bahwan_Cybertek_Inc,N/A,year
Bailiwick,70,year
Baker_Hill_Corporation,N/A,year
Baldwin_Hackett_%26_Meeks,N/A,year
Bally_Technologies%2C_Inc.,N/A,year
Baltimore_County_Government,N/A,year
Bandwidth.Com,77,year
Banjo_Corporation,N/A,hour
Banker%27s_Toolbox,94,year
Barracuda_Networks,85,year
Baxter_Planning_Systems,N/A,year
Baycom,N/A,hour
Bayshore_Solutions,N/A,year
Bazaarvoice%2C_Inc.,85,year
Beacon_Hill_Staffing,52,year
Bearcom,21,hour
Beeline,N/A,year
Belden_Communications_Division,N/A,year
Bell_Canada,N/A,year
Bell_Techlogix,20,hour
Bellsouth_Telecommunications%2C_Inc._(BST),N/A,hour
Benefitfocus,78,year
Benefitfocus.Com%2C_Inc.,74,year
Benetech_Inc.,N/A,year
Bentley_Systems%2C_Incorporated,85,year
Berkley_Technology_Services%2C_Llc.,N/A,year
Beta_Tech,N/A,year
Bethesda_Softworks,77,year
Bexar_County,48,year
Big_Fish_Games%2C_Inc.,104,year
Big_Nerd_Ranch,N/A,year
BigCommerce,94,year
Billtrust,84,year
Binary_Tree,N/A,year
BioClinica,76,year
Birch_Communications,62,year
Birlasoft_Ltd.,92,year
Birst,N/A,year
Biscom_Inc,N/A,year
Bit-Wizards,N/A,year
BitWise,N/A,year
BizLibrary,56,year
Bla_Bla_Bla,79,year
Black_Box_Corporation,76,year
Black_Knight_Financial_Services,82,year
Black_Mountain_Systems,N/A,year
BlackBerry_Limited,105,year
BlackLine_Systems,117,year
Blackbaud%2C_Inc.,80,year
Blackboard%2C_Inc.,79,year
Blackbox,N/A,year
Blackfoot_Communications,N/A,year
Blank,77,year
Blizzard_Corporation,N/A,year
Blizzard_Entertainment,100,year
Bloomberg_LP,111,year
Blue_Coat_Systems%2C_Inc.,N/A,year
Blue_Corona,N/A,year
Blue_Horseshoe_Solutions,73,year
Blue_Ridge_Communications,N/A,year
Blue_Water_Media,N/A,year
BlueJeans_Network%2C_Inc.,109,year
BlueVolt,64,year
Bluegrass_Cellular,12,hour
Bluehost%2C_Inc,N/A,year
Bluewolf,62,year
Blur_Studio,N/A,year
Blurb,N/A,year
Blytheco,N/A,year
BobCAD-CAM%2C_Inc.,N/A,hour
Boecore_Inc,87,year
Boingo_Wireless,90,year
Bomgar,79,year
Bonanza,N/A,year
Booking.com,79,year
Boost_Mobile,10,hour
Boostability,N/A,hour
Booz%2C_Allen%2C_and_Hamilton,94,year
Born,N/A,year
Bottle_Rocket_Apps,104,year
Bottomline_Technologies%2C_Inc.,75,year
Bowhead%2C_Inc.,77,year
Bowhead_Information_Technology_Services%2C_Inc.,N/A,year
Box,117,year
Bradford_Scott_Data_Corporation,N/A,hour
Brafton,50,year
Brainshark,76,year
Brainstorm,N/A,year
BrandMuscle%2C_Inc.,53,year
Brandes_Associates,N/A,year
Brandwatch,81,year
Braxton_Technologies,N/A,year
Bright_House_Networks,70,year
Brightcove_Inc,N/A,year
Brightree,85,year
Brightstar_Corporation,89,year
Brighttalk,N/A,year
Brillio,134,year
Brite_Computers,N/A,year
British_Telecom,N/A,year
British_Telecommunications_Plc.,N/A,year
BroadSoft%2C_Inc.,90,year
Broadband_Express,N/A,hour
Broadband_Telecom,N/A,year
Broadnet,N/A,year
Broadpoint,N/A,year
Broadridge_Financial_Solutions%2C_Inc.,90,year
Brocade_Communications_Systems%2C_Inc.,107,year
Bronto_Software,72,year
Brooks_Bell,N/A,year
Bsquare_Corporation,N/A,year
Buchanan_Associates,N/A,year
Buckeye_Cablesystem,N/A,year
Buckeye_Telesystem,N/A,year
Building_Engines%2C_Inc.,N/A,year
Buildium,N/A,year
Bullhorn,85,year
Bullseye_Telecom,N/A,year
Bungie%2C_Inc.,85,year
Bureau_Van_Dijk_Electronic_Publishing,N/A,year
Business_Communications%2C_Inc.,N/A,year
Business_Imaging_Systems,N/A,year
Business_Information_Group,N/A,year
Business_Information_Systems%2C_Inc,53,year
Business_Insider,71,year
Business_Software_Inc,N/A,year
Businessolver,79,year
BuzzFeed,69,year
C_Squared_Systems,N/A,hour
C-Tech_Associates%2C_Inc.,N/A,hour
C_%26_C_Technologies,76,year
C2_Solutions_Group,N/A,year
C3I%2C_Inc.,N/A,year
CA%2C_Inc.,90,year
CA_Technologies,N/A,year
CALIBRE,83,year
CAMP_Systems_International,N/A,year
CBE_Group,N/A,year
CBS_Interactive_Inc.,85,year
CBSI,N/A,year
CCC_Information_Services,82,year
CCH_Tax_and_Accounting,N/A,year
CCI_Systems,19,hour
CD_Baby,82,year
CDI_Corp,31,hour
CDK_Global,77,year
CDK_Global%2C_LLC.,83,year
CDO_Technologies,76,year
CDS_Global%2C_Inc.,14,hour
CDW_Berbee,90,year
CDW_Computer_Centers_Inc,83,year
CDW_Merchants,N/A,year
CENIC,N/A,year
CERN,N/A,year
CGI_Federal,75,year
CGI_Group_Inc.,87,year
CHR_Solutions%2C_Inc.,N/A,year
CIO_Solutions,N/A,year
CIS,72,year
CIS_Group,N/A,year
CIS_Security,N/A,hour
CMS_Solutions,N/A,year
COCC,64,year
CODY_Systems,N/A,hour
COINS,57,year
COMMSCOPE%2C_Inc.,102,year
CPA_Global,79,year
CPA_Site_Solutions,N/A,year
CPI_Corp.,26,hour
CPI_Solutions,N/A,hour
CPS_Security_Solutions,13,hour
CPSI,68,year
CRF_Inc,59,year
CRI_Advantage%2C_Inc.,N/A,year
CRIF,N/A,year
CSG_Systems_International_Inc,96,year
CSI_Consulting,N/A,year
CSI_Technologies%2C_Inc.,N/A,hour
CSPI,73,year
CSRA_Inc.,87,year
CSSA,N/A,year
CSSI%2C_Inc.,63,year
CSSS.net,N/A,year
CTI_Group,74,year
CTIS,N/A,year
CTS_Corporation,92,year
CU*Answers,N/A,year
CU_Direct_Corporation,77,year
CUBRC,N/A,year
CW_Technology,N/A,year
CWS_Services,N/A,hour
Cable_Connections,N/A,year
Cable_News_Network_(CNN),N/A,year
Cable_One_Inc.,71,year
Cable_Solutions,N/A,hour
Cable_and_Wireless_Worldwide,N/A,hour
CableCom_LLC,24,hour
CableLabs,N/A,year
CablesandKits.com,N/A,year
Cablevision_Systems_Corporation,83,year
Cadence_Design_Systems_Inc.,136,year
Calabrio%2C_Inc,89,year
California_Air_National_Guard,N/A,hour
California_Department_of_Forestry,N/A,year
California_Department_of_Public_Health,N/A,year
Calix_Networks%2C_Inc.,N/A,year
Call_One,N/A,year
CallMiner,N/A,year
CallTower,N/A,year
Callidus_Software_Inc.,87,year
Caltech,58,year
Calyx_Software,N/A,year
Camber_Corporation,79,year
Cambridge_Computer_Services,N/A,year
Cambridge_Information_Group,N/A,year
Cameron_Communications%2C_LLC,N/A,year
Campus_Management_Corporation,N/A,year
Canonical,122,year
Capgemini,97,year
Capgemini_Consulting,92,year
Cappex.com,73,year
Caprock_Communications,N/A,year
Capsher_Technology,N/A,hour
Capstone_Corporation,69,year
Captech_Ventures,102,year
Capterra,63,year
CarGurus,88,year
Carahsoft_Technology,47,year
Carbonite,81,year
Cardinal_Solutions_Group,88,year
Cardinal_Tracking%2C_Inc.,N/A,year
CardinalCommerce_Corporation,N/A,year
Cardlytics,77,year
Career_Builder,63,year
Careerbuilder.Com%2C_LLC,N/A,year
Careerbuilder%2C_LLC,75,year
Carena,80,year
Caretech,N/A,year
Caretech_Solutions%2C_Inc.,56,year
Carewise%2C_Inc.,N/A,year
Careworks,68,year
Carfax%2C_Inc.,78,year
Cargas_Systems,N/A,year
Carlson_Wagonlit_Travel_(CWT),79,year
Carnegie_Learning%2C_Inc.,N/A,year
Carolina_West_Wireless,N/A,year
Carousel_Industries,60,year
Cars.Com,68,year
Cartegraph,N/A,year
Carter_Broadcast_Group,N/A,year
Casenet,N/A,year
Castle_Branch_Inc,N/A,hour
Catalyst_Health_Solutions,N/A,year
Catalyst_Repository_Systems,N/A,year
Catertrax,N/A,year
Cedar_Document_Technologies,N/A,year
Cee_Kay_Supply,N/A,hour
Cellular_Sales_of_Knoxville,71,year
Cellular_South,N/A,year
CellularOne,N/A,year
Cendyn,N/A,year
Cengage,89,year
Cengage_Learning,76,year
Centare,77,year
Center_for_Computer_Resources,N/A,year
Central_Logic,N/A,year
Centre_Technologies,N/A,year
CentricsIT,N/A,year
Centro,62,year
Centuria,N/A,year
Centurum%2C_Inc.,N/A,hour
CenturyLink,86,year
Cequint,N/A,year
Ceridian_Corporation,88,year
Cerner_Corporation,75,year
Certain_Affinity,82,year
Certain_Software,N/A,year
ChaiONE,76,year
Chameleon_Integrated_Services,N/A,year
Change_Healthcare,91,year
ChangePoint%2C_Inc,90,year
Channeladvisor,72,year
Charles_River_Analytics,N/A,year
Charles_River_Development_Group%2C_Inc.,106,year
Charter_Communications%2C_Inc.,88,year
Charter_Construction%2C_Inc.,N/A,hour
Charter_Global_INc,N/A,year
Chartlogic,N/A,year
Check_Point,N/A,year
Check_Point_Software_Ltd,N/A,year
Check_Point_Software_Technologies%2C_Inc.,N/A,year
Checkpoint_Systems%2C_Inc.,N/A,year
Chegg,128,year
Chemical_Abstracts_Services,77,year
Chenega_Corporation,79,year
Chenega_Federal_Systems%2C_LLC,N/A,year
Chief_Architect,N/A,hour
China_Mobile,N/A,year
ChiroTouch,N/A,year
Chorus_Call%2C_Inc.,N/A,year
Christian_Science_Monitor,N/A,year
Christianity_Today_International,N/A,year
Chrome_River_Technologies,95,year
Churchill_Downs_Incorporated,79,year
Ciber_Incorporated,88,year
Ciena_Corp,107,year
Cigital_Inc,N/A,year
Cincinnati_Bell_Inc,N/A,year
Cincinnati_Bell_Technology_Solutions,68,year
Ciox_Health,16,hour
Cipher_Tech_Solutions,N/A,year
CipherCloud,N/A,year
Ciplex,N/A,year
Circadence,N/A,year
Circle_Computer_Resources,N/A,year
Cisco_Systems_Inc,111,year
Cision,56,year
CitiusTech,101,year
Citizant_Inc,N/A,year
Citizens_Telephone,N/A,year
Citrix,105,year
Citrix_Online,N/A,year
Citrix_Systems_Inc,108,year
City_of_Bardstown,N/A,hour
City_of_Buda,N/A,year
City_of_Delray_Beach,N/A,hour
City_of_Trenton,N/A,hour
Citynet,N/A,hour
Civicplus,67,year
Clarabridge,82,year
Clarity_Consulting,N/A,hour
Clarity_Software_Solutions,N/A,year
Clayton_County_Board_of_Commissioners,N/A,year
CleanTelligent_Software,N/A,hour
Clear_Capital_Inc.,96,year
Clear_Channel_Communications%2C_Inc.,68,year
ClearLink,73,year
Clearwater_Analytics,73,year
Cleo%2C_Inc,N/A,year
Clevertech,N/A,year
Click_Here,N/A,year
ClickBank,N/A,year
Clickbooth,N/A,year
Clicksoftware,N/A,year
ClosingCorp_Inc,N/A,year
Cloudera_Inc.,134,year
Clover_Infotech,N/A,year
Clover_Technologies_Group%2C_Llc.,N/A,year
CoNetrix,N/A,hour
Code_42_Software,68,year
Cogent,N/A,year
Cogent_Communications,70,year
Cognitive_Data,N/A,hour
Cognizant,98,year
Cognizant_Technology_Solutions_Corp,98,year
Collabera_Inc.,55,year
Collabnet%2C_Inc.,N/A,year
CollabraLink_Technologies,97,year
CollegeNET,N/A,year
Colsa_Corporation,80,year
Columbus_It,N/A,year
Com_Net%2C_Inc.,N/A,hour
ComTech_Communications,97,year
Comcast_Cable%2C_Inc.,91,year
Comcast_Entertainment_Group,86,year
Comcast_Spotlight,71,year
Comm-Works%2C_Inc.,N/A,year
Command_Alkon_Inc,75,year
Commerce_Technologies%2C_Inc.,N/A,year
Commission_Junction%2C_Inc.,N/A,year
Common_Sense_Media,74,year
Commonwealth_of_Pennsylvania_(PA),59,year
Communication_Service_For_The_Deaf%2C_Inc,59,year
Communication_Solutions,N/A,hour
Communications_Engineering_Company,N/A,hour
Communications_Test_Design%2C_Inc.,80,year
